Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,5,0.31,symmetric,0.3228117245440851
100% Corpus,5,0.31,0.01,0.3206323502375322
100% Corpus,5,0.31,0.31,0.3225457315836307
100% Corpus,5,0.31,0.61,0.32398378312945714
100% Corpus,5,0.31,0.91,0.3206995080273021
100% Corpus,5,0.61,symmetric,0.3216107716740415
100% Corpus,5,0.61,0.01,0.318642787561961
100% Corpus,5,0.61,0.31,0.3161499260609037
100% Corpus,5,0.61,0.61,0.3191537753230611
100% Corpus,5,0.61,0.91,0.32101113047061297
100% Corpus,5,0.91,symmetric,0.3182031257091222
100% Corpus,5,0.91,0.01,0.31539353514300006
100% Corpus,5,0.91,0.31,0.3159350220099784
100% Corpus,5,0.91,0.61,0.315314756857241
100% Corpus,5,0.91,0.91,0.31745856662880534
100% Corpus,6,symmetric,symmetric,0.3190055046547528
100% Corpus,6,symmetric,0.01,0.3189963994274567
100% Corpus,6,symmetric,0.31,0.32304605735529934
100% Corpus,6,symmetric,0.61,0.32004048373842536
100% Corpus,6,symmetric,0.91,0.3184549463138701
100% Corpus,6,asymmetric,symmetric,0.3284739924496563
100% Corpus,6,asymmetric,0.01,0.31643812293875034
100% Corpus,6,asymmetric,0.31,0.3227548056658817
100% Corpus,6,asymmetric,0.61,0.3234101960316914
100% Corpus,6,asymmetric,0.91,0.32049982029251856
100% Corpus,6,0.01,symmetric,0.313002028338855
100% Corpus,6,0.01,0.01,0.3197892672272098
100% Corpus,6,0.01,0.31,0.31982873042662013
100% Corpus,6,0.01,0.61,0.31408963488125274
100% Corpus,6,0.01,0.91,0.3184113321491508
100% Corpus,6,0.31,symmetric,0.3178668516934692
100% Corpus,6,0.31,0.01,0.3195791640478775
100% Corpus,6,0.31,0.31,0.3189239776754533
100% Corpus,6,0.31,0.61,0.3228827480902158
100% Corpus,6,0.31,0.91,0.31891642511492796
100% Corpus,6,0.61,symmetric,0.3195181524621522
100% Corpus,6,0.61,0.01,0.32356918992010947
100% Corpus,6,0.61,0.31,0.3207508904242007
100% Corpus,6,0.61,0.61,0.3176744933714782
100% Corpus,6,0.61,0.91,0.3188538048967769
100% Corpus,6,0.91,symmetric,0.31790890405529754
100% Corpus,6,0.91,0.01,0.318455481074614
100% Corpus,6,0.91,0.31,0.3162810290309662
100% Corpus,6,0.91,0.61,0.3179269256788686
100% Corpus,6,0.91,0.91,0.3177089355331905
100% Corpus,7,symmetric,symmetric,0.32218007212833183
100% Corpus,7,symmetric,0.01,0.32007531835075437
100% Corpus,7,symmetric,0.31,0.3207443841267426
100% Corpus,7,symmetric,0.61,0.319061867513585
100% Corpus,7,symmetric,0.91,0.3152734112262983
100% Corpus,7,asymmetric,symmetric,0.3229192054479881
100% Corpus,7,asymmetric,0.01,0.3298277483859568
100% Corpus,7,asymmetric,0.31,0.322207254045396
100% Corpus,7,asymmetric,0.61,0.32600687804373535
100% Corpus,7,asymmetric,0.91,0.3279520453741723
100% Corpus,7,0.01,symmetric,0.31777691663816965
100% Corpus,7,0.01,0.01,0.32719853124770587
100% Corpus,7,0.01,0.31,0.3146657188031455
100% Corpus,7,0.01,0.61,0.31600527741551376
100% Corpus,7,0.01,0.91,0.3184198678989496
100% Corpus,7,0.31,symmetric,0.31645608396001307
100% Corpus,7,0.31,0.01,0.3272265954338843
100% Corpus,7,0.31,0.31,0.3183105234512407
100% Corpus,7,0.31,0.61,0.3152668004051535
100% Corpus,7,0.31,0.91,0.31710380383049586
100% Corpus,7,0.61,symmetric,0.3159837306084084
100% Corpus,7,0.61,0.01,0.31890426971206914
100% Corpus,7,0.61,0.31,0.3192913731016562
100% Corpus,7,0.61,0.61,0.3169945691779185
100% Corpus,7,0.61,0.91,0.31670123564298386
100% Corpus,7,0.91,symmetric,0.3184191379879944
100% Corpus,7,0.91,0.01,0.31908981185095564
100% Corpus,7,0.91,0.31,0.31315925322711813
100% Corpus,7,0.91,0.61,0.3174313590264654
