Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,3,0.91,0.61,0.43671639663621825
100% Corpus,3,0.91,0.91,0.4385950581876499
100% Corpus,4,symmetric,symmetric,0.4469238102752142
100% Corpus,4,symmetric,0.01,0.43384772960573553
100% Corpus,4,symmetric,0.31,0.4318591144238556
100% Corpus,4,symmetric,0.61,0.4357117463646152
100% Corpus,4,symmetric,0.91,0.42903070927904424
100% Corpus,4,asymmetric,symmetric,0.4444102525039277
100% Corpus,4,asymmetric,0.01,0.4309553483134292
100% Corpus,4,asymmetric,0.31,0.4367292191749502
100% Corpus,4,asymmetric,0.61,0.43085103726509144
100% Corpus,4,asymmetric,0.91,0.4323938331916432
100% Corpus,4,0.01,symmetric,0.4336925331697967
100% Corpus,4,0.01,0.01,0.4353289314173459
100% Corpus,4,0.01,0.31,0.43110582335310865
100% Corpus,4,0.01,0.61,0.434360857174363
100% Corpus,4,0.01,0.91,0.4235050453560594
100% Corpus,4,0.31,symmetric,0.4276490804382844
100% Corpus,4,0.31,0.01,0.43291716554203197
100% Corpus,4,0.31,0.31,0.42024525391923084
100% Corpus,4,0.31,0.61,0.44226274564258755
100% Corpus,4,0.31,0.91,0.44459152901374877
100% Corpus,4,0.61,symmetric,0.43699133748589714
100% Corpus,4,0.61,0.01,0.4339837519019896
100% Corpus,4,0.61,0.31,0.4342353399200062
100% Corpus,4,0.61,0.61,0.4400821456173404
100% Corpus,4,0.61,0.91,0.44231343529092126
100% Corpus,4,0.91,symmetric,0.43681214281360536
100% Corpus,4,0.91,0.01,0.4385575490437942
100% Corpus,4,0.91,0.31,0.4377785233177104
100% Corpus,4,0.91,0.61,0.4374801694982843
100% Corpus,4,0.91,0.91,0.43727990407673073
100% Corpus,5,symmetric,symmetric,0.4375238003765755
100% Corpus,5,symmetric,0.01,0.43773494103548716
100% Corpus,5,symmetric,0.31,0.44058920031590676
100% Corpus,5,symmetric,0.61,0.4299588357059559
100% Corpus,5,symmetric,0.91,0.4444236488488035
100% Corpus,5,asymmetric,symmetric,0.44752058023028063
100% Corpus,5,asymmetric,0.01,0.44356036203870985
100% Corpus,5,asymmetric,0.31,0.4478942315331427
100% Corpus,5,asymmetric,0.61,0.4433195845933384
100% Corpus,5,asymmetric,0.91,0.4480431019950658
100% Corpus,5,0.01,symmetric,0.435104123285077
100% Corpus,5,0.01,0.01,0.430730388682684
100% Corpus,5,0.01,0.31,0.4258440268469085
100% Corpus,5,0.01,0.61,0.42797404652159665
